City,Country,Latitude,Longitude,High Temperature,Humidity,Cloud Coverage,Wind Speed
Grand Gaube,MU,-20.01,57.66,80.6,74,75,11.41
Chhapar,IN,27.82,74.44,79.07,32,0,2.59
Ornskoldsvik,SE,63.29,18.72,37.4,69,92,4.7
Honiara,SB,-9.43,159.96,74.57,100,80,0.81
La Ronge,CA,55.1,-105.3,28.4,63,90,10.29
Esperance,TT,10.24,-61.45,84.99,74,40,13.87
Vaini,IN,15.34,74.49,71.24,76,0,2.71
Agadez,NE,16.97,7.99,107.6,12,0,13.87
Albany,US,42.65,-73.75,51.01,66,90,5.95
Sorland,NO,67.67,12.69,40.37,97,44,12.55
Zaragoza,ES,41.65,-0.88,52.0,76,75,18.34
Ampanihy,MG,-24.69,44.75,70.61,86,0,4.05
Port Blair,IN,11.67,92.75,84.38,100,0,5.61
Pakxan,LA,18.39,103.66,70.97,90,12,2.15
Meulaboh,ID,4.14,96.13,77.81,100,92,2.71
Sechura,PE,-5.56,-80.82,80.6,71,0,9.31
Pangai,TO,-19.8,-174.35,79.79,100,0,7.18
Tondela,PT,40.52,-8.08,55.4,66,40,8.05
Flinders,AU,-34.58,150.85,68.0,88,90,5.82
Nantucket,US,41.28,-70.1,55.99,81,40,10.29
Pundaguitan,PH,6.37,126.17,77.72,100,76,8.41
Gat,SN,14.69,-16.54,100.4,18,0,9.17
Kiruna,SE,67.86,20.23,33.8,55,20,2.24
Korhogo,CI,9.46,-5.63,92.66,56,12,2.71
Angoche,MZ,-16.23,39.91,82.22,100,12,10.2
Kimberley,ZA,-28.74,24.76,75.2,53,20,2.24
Providencia,CO,1.24,-77.6,69.8,73,40,4.7
Muros,ES,42.77,-9.06,55.0,93,75,9.17
San Vicente,SV,13.64,-88.78,87.8,66,40,4.7
Khatanga,RU,71.98,102.47,22.73,84,48,11.21
Aykhal,RU,65.95,111.51,15.89,64,0,9.53
Mae Chan,TH,20.15,99.85,78.8,78,20,2.24
Galbshtadt,RU,53.23,78.98,33.35,78,0,9.64
Nelson Bay,AU,-32.72,152.14,69.01,88,24,12.21
Kaeo,NZ,-35.1,173.78,52.0,94,44,4.83
Nara,JP,34.68,135.8,55.4,82,0,2.24
Quelimane,MZ,-17.88,36.89,82.4,78,40,9.17
Upernavik,GL,72.79,-56.15,32.99,81,0,16.69
Tazovskiy,RU,67.47,78.7,27.77,90,88,19.93
Victoria,BN,5.28,115.24,84.2,79,75,2.24
Castro,CL,-42.48,-73.76,53.6,93,90,18.34
Port Hedland,AU,-20.31,118.58,77.0,78,24,5.82
Avarua,CK,-21.21,-159.78,68.0,94,48,1.12
Inirida,CO,3.87,-67.92,88.61,68,24,2.93
Comodoro Rivadavia,AR,-45.87,-67.48,71.6,35,20,20.8
Nchelenge,ZM,-9.35,28.74,72.05,87,64,4.38
Port Macquarie,AU,-31.43,152.91,62.01,93,0,5.39
Torbay,CA,47.66,-52.73,39.0,40,90,19.46
Ginda,IN,30.69,78.49,47.39,97,44,2.15
Fria,GN,10.36,-13.58,91.22,45,12,9.31
Deputatskiy,RU,69.3,139.9,9.5,78,68,2.71
Tocache,PE,-8.19,-76.51,62.6,100,92,2.15
Dire Dawa,ET,9.59,41.86,67.1,65,64,1.92
Tokur,RU,53.13,132.9,18.32,85,64,2.37
